"muestra","condicion","tiempo_crecimiento","temperatura_crecimiento","canister_posicion"
"GLDS-145_rna-seq_FLT-SA-B2","spaceflight","48","20-30 ","B2"
"GLDS-145_rna-seq_FLT-SA-B3","spaceflight","48","20-30 ","B3"
"GLDS-145_rna-seq_FLT-SA-B4","spaceflight","48","20-30 ","B4"
"GLDS-145_rna-seq_FLT-SA-B5","spaceflight","48","20-30 ","B5"
"GLDS-145_rna-seq_FLT-SA-D1","spaceflight","48","20-30 ","D1"
"GLDS-145_rna-seq_FLT-SA-D2","spaceflight","48","20-30 ","D2"
"GLDS-145_rna-seq_FLT-SA-D3","spaceflight","48","20-30 ","D3"
"GLDS-145_rna-seq_FLT-SA-D4","spaceflight","48","20-30 ","D4"
"GLDS-145_rna-seq_FLT-SA-D5","spaceflight","48","20-30 ","D5"
"GLDS-145_rna-seq_GC2-SA-A1","ground","48","20-30 ","A1"
"GLDS-145_rna-seq_GC2-SA-A2","ground","48","20-30 ","A2"
"GLDS-145_rna-seq_GC2-SA-A3","ground","48","20-30 ","A3"
"GLDS-145_rna-seq_GC2-SA-A4","ground","48","20-30 ","A4"
"GLDS-145_rna-seq_GC2-SA-B1","ground","48","20-30 ","B1"
"GLDS-145_rna-seq_GC2-SA-B2","ground","48","20-30 ","B2"
"GLDS-145_rna-seq_GC2-SA-B3","ground","48","20-30 ","B3"
"GLDS-145_rna-seq_GC2-SA-B4","ground","48","20-30 ","B4"
"GLDS-145_rna-seq_GC2-SA-B5","ground","48","20-30 ","B5"

